CrmCd.Desc,num,UCR part,UCR1
BATTERY - SIMPLE ASSAULT,73339,2,
BURGLARY FROM VEHICLE,57071,1,Larceny-theft (except motor vehicle theft)
VEHICLE - STOLEN,56468,1,Motor vehicle theft
BURGLARY,56298,1,Burglary (breaking or entering)
THEFT OF IDENTITY,47229,2,
THEFT PLAIN - PETTY ($950 & UNDER),45579,1,Larceny-theft (except motor vehicle theft)
SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,43256,2,
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31801,1,Aggravated assault
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28997,2,
ROBBERY,28746,1,Robbery
VANDALISM - MISDEAMEANOR ($399 OR UNDER),26498,2,
THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),24103,1,Larceny-theft (except motor vehicle theft)
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",18958,1,Larceny-theft (except motor vehicle theft)
CRIMINAL THREATS - NO WEAPON DISPLAYED,17101,2,
THEFT PLAIN - PETTY (UNDER $400),15935,1,Larceny-theft (except motor vehicle theft)
SHOPLIFTING - PETTY THEFT ($950 & UNDER),13768,1,Larceny-theft (except motor vehicle theft)
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),11038,1,Larceny-theft (except motor vehicle theft)
VANDALISM - MISDEAMEANOR,9021,2,
DOCUMENT FORGERY / STOLEN FELONY,8984,2,
VANDALISM - FELONY,8806,2,
OTHER MISCELLANEOUS CRIME,7852,2,
VIOLATION OF COURT ORDER,7778,2,
"LETTERS, LEWD",7696,2,
THEFT FROM MOTOR VEHICLE - PETTY (UNDER $400),7577,1,Larceny-theft (except motor vehicle theft)
TRESPASSING,6950,2,
VIOLATION OF RESTRAINING ORDER,6820,2,
THEFT-GRAND (OVER $400 OR $100 IF FOWL),6659,1,Larceny-theft (except motor vehicle theft)
"THREATS, VERBAL/TERRORIST",5561,2,
"THEFT, PERSON",5183,1,Larceny-theft (except motor vehicle theft)
"BURGLARY, ATTEMPTED",4828,1,Burglary (breaking or entering)
ATTEMPTED ROBBERY,4145,1,Robbery
BIKE - STOLEN,4117,1,Larceny-theft (except motor vehicle theft)
BATTERY WITH SEXUAL CONTACT,3800,2,
SHOPLIFTING - PETTY THEFT,3651,1,Larceny-theft (except motor vehicle theft)
SPOUSAL (COHAB) ABUSE - AGGRAVATED ASSAULT,3264,1,Aggravated assault
"RAPE, FORCIBLE",3257,1,Rape
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,3195,2,
BRANDISH WEAPON,3108,2,
"CHILD, CRIME AGAINST",2629,2,
"BUNCO, GRAND THEFT",2287,2,
CHILD NEGLECT (SEE 300 W.I.C.),2181,2,
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1996,2,
BATTERY POLICE,1640,2,
"BUNCO, PETTY THEFT",1588,2,
DISCHARGE FIREARMS/SHOTS FIRED,1434,2,
RESISTING ARREST,1409,2,
"SEX, UNLAWFUL",1341,2,
DISTURBING THE PEACE,1335,2,
INDECENT EXPOSURE,1255,2,
ARSON,1236,1,Arson
VEHICLE - ATTEMPT STOLEN,1189,1,Motor vehicle theft
"BURGLARY FROM VEHICLE, ATTEMPTED",1115,1,Larceny-theft (except motor vehicle theft)
THREATENING PHONE CALLS/LETTERS,1094,2,
"CHILD ANNOYING (17YRS & UNDER, DID NOT TOUCH VICTIM)",1079,2,
CRIMINAL HOMICIDE,1068,1,Criminal homicide
CHILD ENDANGERMENT/NEG.,1030,2,
CONTEMPT OF COURT,962,2,
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",923,2,
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),855,1,Larceny-theft (except motor vehicle theft)
KIDNAPPING,831,2,
OTHER ASSAULT,743,2,
"EMBEZZLEMENT, GRAND",742,2,
STALKING,723,2,
THEFT PLAIN - ATTEMPT,711,1,Larceny-theft (except motor vehicle theft)
SHOTS FIRED AT INHABITED DWELLING,706,2,
EXTORTION,631,2,
SEXUAL PENTRATION WITH A FOREIGN OBJECT,594,1,Rape
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,570,1,Aggravated assault
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,533,1,Aggravated assault
ORAL COPULATION,525,2,
CRUELTY TO ANIMALS,496,2,
THROWING OBJECT AT MOVING VEHICLE,488,2,
THEFT FROM MOTOR VEHICLE - ATTEMPT,467,1,Larceny-theft (except motor vehicle theft)
LEWD CONDUCT,456,2,
VIOLATION OF TEMPORARY RESTRAINING ORDER,453,2,
PEEPING TOM,452,2,
CHILD STEALING,434,2,
"RAPE, ATTEMPTED",425,1,Rape
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,421,1,Rape
UNAUTHORIZED COMPUTER ACCESS,412,2,
BOMB SCARE,410,2,
PURSE SNATCHING,407,1,Larceny-theft (except motor vehicle theft)
PROWLER,391,2,
FALSE IMPRISONMENT,351,2,
COUNTERFEIT,350,2,
KIDNAPPING - GRAND ATTEMPT,303,2,
SHOTS INHABITED DWELLING,238,2,
PICKPOCKET,230,1,Larceny-theft (except motor vehicle theft)
PIMPING,211,2,
ILLEGAL DUMPING,195,2,
DRIVING WITHOUT OWNER CONSENT (DWOC),182,2,
FALSE POLICE REPORT,182,2,
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",179,2,
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",178,2,
SHOPLIFTING-GRAND THEFT (OVER $401),163,1,Larceny-theft (except motor vehicle theft)
"BUNCO, ATTEMPT",162,2,
SEX OFFENDER REGISTRANT INCIDENT,151,2,
BATTERY ON A FIREFIGHTER,107,2,
DOCUMENT WORTHLESS ($200.01 & OVER),106,2,
BOAT - STOLEN,104,2,
PANDERING,95,2,
THEFT FROM PERSON - ATTEMPT,89,1,Larceny-theft (except motor vehicle theft)
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",82,2,
RECKLESS DRIVING,70,2,
FAILURE TO YIELD,70,2,
SHOPLIFTING - ATTEMPT,65,1,Larceny-theft (except motor vehicle theft)
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",64,1,Larceny-theft (except motor vehicle theft)
CONTRIBUTING,63,2,
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",63,2,
WEAPONS POSSESSION/BOMBING,62,2,
"CREDIT CARDS, FRAUD USE ($950 & UNDER",62,2,
"EMBEZZLEMENT, PETTY",58,2,
CREDIT CD > $200,58,2,
DISHONEST EMPLOYEE - GRAND THEFT,45,2,
DISHONEST EMPLOYEE - PETTY THEFT,42,2,
CHILD ABANDONMENT,34,2,
TILL TAP - PETTY ($950 & UNDER),29,2,
LYNCHING,27,2,
DOCUMENT WORTHLESS > $100,24,2,
DISRUPT SCHOOL,20,2,
CONSPIRACY,19,2,
BATTERY FIREMAN,19,2,
"THEFT, COIN MACHINE - PETTY",17,1,Larceny-theft (except motor vehicle theft)
"DRUGS, TO A MINOR",17,2,
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",13,2,
PROPERTY MISSING RVD VEH - PETTY,13,2,
DRUNK ROLL,13,2,
PROPERTY MISSING RVD VEH - GRAND THEFT ($950.01 & OVER),13,2,
FAILURE TO DISPERSE,12,2,
TELEPHONE PROPERTY - DAMAGE,12,2,
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",12,1,Larceny-theft (except motor vehicle theft)
PURSE SNATCHING - ATTEMPT,12,1,Larceny-theft (except motor vehicle theft)
BRIBERY,12,2,
PROPERTY MISSING RVD VEH - GRAND,11,2,
CREDIT DD < $200,11,2,
PETTY THEFT - AUTO REPAIR,10,1,Larceny-theft (except motor vehicle theft)
DOCUMENT WORTHLESS ($200 & UNDER),10,2,
BIKE - ATTEMPTED STOLEN,9,1,Larceny-theft (except motor vehicle theft)
PROPERTY MISSING RVD VEH - PETTY ($950 & UNDER),9,2,
LYNCHING - ATTEMPTED,9,2,
TILL TAP - PETTY,8,2,
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",8,2,
"THEFT, COIN MACHINE - ATTEMPT",7,1,Larceny-theft (except motor vehicle theft)
GRAND THEFT / AUTO REPAIR,7,1,Larceny-theft (except motor vehicle theft)
BIGAMY,7,2,
INCITING A RIOT,6,2,
SHOTS FROM MOVING VEHICLE,6,2,
DISHONEST EMPLOYEE ATTEMPTED THEFT,5,2,
"PICKPOCKET, ATTEMPT",5,1,Larceny-theft (except motor vehicle theft)
ABORTION/ILLEGAL,4,2,
TILL TAP - GRAND THEFT ($950.01 & OVER),3,2,
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),3,2,
